idx,smiles,atoms,regressionLogistique
2,FC1=CC=C(F)C(C([C@@H](NC(OC(C)(C)C)=O)CC#C)=O)=C1,15,0.9997505746811686
3,FC1=CC=C(F)C([C@@H](O)[C@@H](NC(OC(C)(C)C)=O)CC#C)=C1,15,0.9895633958146574
4,FC1=CC=C(F)C([C@@H]2[C@@H](NC(OC(C)(C)C)=O)CC=CO2)=C1,15,0.9882740522708989
5,FC1=CC=C(F)C([C@@H]2[C@@H](NC(OC(C)(C)C)=O)CC(O)CO2)=C1,15,0.9936628677534439
6,FC1=CC=C(F)C([C@@H]2[C@@H](NC(OC(C)(C)C)=O)CC(CO2)=O)=C1,15,0.8671563263389547
0,CC(OC(N1CC2=NN(S(C)(=O)=O)C=C2C1)=O)(C)C,15,0.9669818158222615
1,CS(N1C=C2C(C[N]C2)=N1)(=O)=O,15,0.2325476931028548
2,FC1=CC=C(F)C([C@@H]2[C@@H](NC(OC(C)(C)C)=O)C[C@@H](N3CC4=NN(S(C)(=O)=O)C=C4C3)CO2)=C1,15,0.9485547713211637
3,FC1=CC=C(F)C([C@@H]2[C@@H](N)C[C@@H](N3CC4=NN(S(C)(=O)=O)C=C4C3)CO2)=C1,15,0.06526568288914214
0,BrC1=CC=C(F)C=C1,15,0.9929231783687273
1,BrCC1=CC(F)=CC=C1C#N,15,0.9790379201062587
2,CN1C(CC(N(CC2=CC(F)=CC=C2C#N)C1=O)Cl)=O,15,0.924076356582852
3,CN1C(C=C(N(CC2=CC(F)=CC=C2C#N)C1=O)N3CCC[C@@H](N)C3)=O,15,0.989491617721425
0,O=C1NC(N([C@@H]2O[C@@H]([C@H]([C@H]2OC(C)=O)OC(C)=O)COC(C)=O)C=C1)=O,15,0.28583546767639106
1,O=C1NC(N([C@@H]2O[C@@H]([C@H]([C@H]2O)O)CO)C=C1)=O,15,0.46353216969302485
0,NC1=C(F)C=C(C(C(O)=O)C)C=C1,15,0.9779124343550074
1,FC(C=C(C(C(O)=O)C)C=C1)=C1C2=CC=CC=C2,15,0.9734947309073921
2,FC(C=C([C@@H](C(O)=O)C)C=C1)=C1C2=CC=CC=C2,15,0.9734947309073921
0,CC#CC(O)(C)C,15,0.5516746270891056
1,CSC(C=C1)=CC=C1C(O)C#CC(O)(C)C,15,0.8682633806551158
2,O=C(C1=CC=C(SC)C=C1)C#CC(O)(C)C,15,0.9917074459254106
3,CC1(C)C(C=C(C2=CC=C(SC)C=C2)O1)=O,15,0.3767119276339308
4,CC1(C)C(C=C(C2=CC=C(S(C)=O)C=C2)O1)=O,15,0.026095396239737514
5,CC1(C)C(C(I)=C(C2=CC=C(S(=O)(N)=O)C=C2)O1)=O,15,0.5706601482889337
6,CC1(C)C(C(C2=CC(F)=CC=C2)=C(C3=CC=C(S(=O)(N)=O)C=C3)O1)=O,15,0.4064869687186656
0,N#C[C@@H]1N([C@@H](C2=CC=CC=C2)CO3)[C@@H]3CCC1,15,0.2631162923630436
1,OC1(CN(C(OC(C)(C)C)=O)C1)[C@@]2(C#N)N([C@@H](C3=CC=CC=C3)CO4)[C@@H]4CCC2,15,0.6638357614382728
2,OC1(CN(C(OC(C)(C)C)=O)C1)[C@H]2N([C@@H](C3=CC=CC=C3)CO)CCCC2,15,0.9999179717984632
3,O=C(C1=C(F)C(F)=C(F)C=C1)N(C2)CC2(O)[C@H]3NCCCC3,15,0.8178493567325306
4,O=C(C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1)N(C3)CC3(O)[C@H]4NCCCC4,15,0.14844163244512182
0,ClC(C1=CC(Cl)=CC=C1Cl)=O,15,0.9551514878943685
1,O=C(O)CNC(C1=CC(Cl)=CC=C1Cl)=O,15,0.9803115024483731
2,CC(C)C[C@H](NC(CNC(C1=CC(Cl)=CC=C1Cl)=O)=O)B2O[C@@H]3C[C@H]4C(C)(C)[C@H](C4)[C@]3(C)O2,15,0.8336326828198601
3,CC(C)C[C@H](NC(CNC(C1=CC(Cl)=CC=C1Cl)=O)=O)B(O)O,15,0.9961262897289604
0,O=C1/C(C(OC(C)(C)O1)=O)=C\OC,15,0.3621235160439169
1,O=C1/C(C(OC(C)(C)O1)=O)=C\NC2=CC=C(C(OC)=O)C(OC)=C2,15,0.9459686428321408
2,O=C1C=CNC2=C1C=C(C(OC)=O)C(OC)=C2,15,0.7838779313657964
3,ClC1=C2C(C=C(OC)C(C(OC)=O)=C2)=NC=C1,15,0.9960434339620364
4,ClC1=C2C(C=C(OC)C(C(N)=O)=C2)=NC=C1,15,0.9924973756295262
0,OC1=CC(Cl)=C(N)C=C1,15,0.9564958863336755
1,OC1=CC(Cl)=C(NC(OC2=CC=CC=C2)=O)C=C1,15,0.9991728261847239
2,OC1=CC(Cl)=C(NC(NC2CC2)=O)C=C1,15,0.9864753805844005
3,NC(C1=CC2=C(OC3=CC(Cl)=C(NC(NC4CC4)=O)C=C3)C=CN=C2C=C1OC)=O,15,0.9179884847425519
0,ClC1=NC=CC(Cl)=N1,15,0.9000598718855205
1,CN1C=C(C2=NC(Cl)=NC=C2)C3=C1C=CC=C3,15,0.9926920311504367
